"","data_date","ID","Payment","Payment.Date"
"1973","2012-01-30",159,10,"2012-01-21"
"1980","2012-01-30",169,20,"2012-01-17"
"2002","2012-01-30",198,30,"2012-01-29"
"2006","2012-01-30",203,30,"2012-01-17"
"2015","2012-01-30",212,40,"2011-12-19"
"2020","2012-01-30",221,34.66,"2012-01-29"
"2030","2012-01-30",237,30,"2012-01-09"
"2031","2012-01-30",238,10,"2012-01-06"
"2032","2012-01-30",240,30,"2011-12-07"
"2038","2012-01-30",248,10,"2011-12-07"
"2079","2012-04-13",17,40,"2012-04-13"
"2083","2012-04-13",28,60,"2012-04-10"
"2087","2012-04-13",34,20,"2012-02-02"
"2088","2012-04-13",36,40,"2012-04-13"
"2092","2012-04-13",40,20,"2012-02-02"
"2094","2012-04-13",43,10,"2012-03-21"
"2098","2012-04-13",51,22.36,"2012-04-13"
"2106","2012-04-13",63,20,"2012-03-06"
"2107","2012-04-13",66,40,"2012-03-01"
"2112","2012-04-13",77,30,"2012-03-28"
"2120","2012-04-13",89,50,"2012-03-14"
"2121","2012-04-13",90,40,"2012-02-22"
"2127","2012-04-13",105,40,"2012-02-08"
"2129","2012-04-13",113,10,"2012-02-02"
"2136","2012-04-13",122,20,"2012-02-02"
"2142","2012-04-13",130,30,"2012-03-23"
"2143","2012-04-13",133,40,"2012-03-07"
"2144","2012-04-13",135,40,"2012-02-02"
"2146","2012-04-13",137,40,"2012-02-13"
"2147","2012-04-13",142,20,"2012-02-22"
"2152","2012-04-13",157,25,"2012-03-23"
"2155","2012-04-13",161,20,"2012-02-22"
"2162","2012-04-13",175,40,"2012-01-31"
"2166","2012-04-13",182,6,"2012-02-01"
"2170","2012-04-13",192,20,"2012-02-01"
"2173","2012-04-13",198,60,"2012-04-13"
"2174","2012-04-13",199,15,"2012-02-02"
"2176","2012-04-13",202,20,"2012-02-02"
"2180","2012-04-13",208,20,"2012-04-13"
"2184","2012-04-13",212,40,"2012-03-30"
"2186","2012-04-13",215,30,"2012-03-07"
